Title,Author,Publication_Date,Genres,Summary,image
Dragonflight,Anne McCaffrey,1968-07,"['Science Fiction', 'Childrens literature', 'Fantasy', 'Fiction']"," Dragonflight chronicles the story of Lessa, the sole survivor of the noble ruling family of Ruatha Hold on the northern continent of Pern. When the rest of her family is killed by a cruel usurper, Fax, she survives by disguising herself as a drudge (a menial servant) partly through simply adopting a slovenly appearance, but also by using her hereditary telepathic abilities to make others see her as far older and less attractive than she actually is",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019014BB50>
The Diamond Age,Neal Stephenson,1995,"['Cyberpunk', 'Science Fiction', 'Speculative fiction', 'Fiction', 'Postcyberpunk']"," The protagonist in the story is Nell, a thete (or person without a tribe; equivalent to the lowest working class) living in the Leased Territories, a lowland slum belt on the artificial, diamondoid island of New Chusan, located offshore from the mouth of the Yangtze River, northwest of Shanghai. At the age of four, Nell receives a stolen copy of an interactive book, Young Lady's Illustrated Primer: a Propædeutic",<PIL.Image.Image image mode=RGB size=512x512 at 0x7901901487C0>
The Hunchback of Notre Dame,Victor Hugo,1831-01-14,"['Childrens literature', 'Fiction']"," The story begins on Epiphany (6 January), 1482, the day of the Feast of Fools in Paris, France. Quasimodo, a deformed hunchback who is the bell-ringer of Notre Dame, is introduced by his mother, Esmeralda, the Queen of France, and her husband, Clopin, the Archdeacon of Paris. The story is told in the context of the feast of the Fools. The King of",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190148BB0>
Alice's Adventures in Wonderland,Lewis Carroll,1865-11-26,"['Childrens literature', 'Fantasy', 'Speculative fiction', 'Absurdist fiction', 'Fiction']"," Chapter 1 – Down the Rabbit Hole: Alice is feeling bored while sitting on the riverbank with her sister, when she notices a talking, clothed White Rabbit with a pocket watch run past. She follows it down a rabbit hole when suddenly she falls a long way to a curious hall with many locked doors of all sizes. She finds a small key to a door too small for her to fit through, but through it she sees an attractive garden. She then discovers a bottle on a table",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019014B700>
Now Wait for Last Year,Philip K. Dick,1966,"['Science Fiction', 'Speculative fiction', 'Fantasy']"," Set during a war between the 'Starmen (inhabitants of the planet Lilistar) and the Reegs, Now Wait for Last Year is the story of Eric Sweetscent, an organ-transplant doctor who gets wrapped up in Earth-Lilistar politics. At the onset of the story, Sweetscy is the personal org-trans surgeon for Virgil Ackerman, the president of Tijuana Fur & Dye. Using an extraterrestrial am",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019014B670>
The Magician's Nephew,C. S. Lewis,1955,"['Speculative fiction', 'Fantasy', 'Childrens literature']"," The story begins in London during the summer of 1900. Two children, Digory Kirke and Polly Plummer, meet while playing in the adjacent gardens of a row of terraced houses. They decide to explore the attic connecting the houses, but take the wrong door and surprise Digory's Uncle Andrew in his study. Uncle Andrew tricks Polly into touching a yellow magic ring, causing her to vanish. Then he explains to Digory that he has been dabbling in magic, and that",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190148A60>
The Patchwork Girl of Oz,L. Frank Baum,1913,"['Speculative fiction', 'Fantasy', 'Childrens literature']"," Ojo the Unlucky is a Munchkin boy who, devoted to life with his uncle Unc Nunkie in the wilderness but on the verge of starvation, goes to see a neighboring ""magician"" and old friend of Unc’s, Dr. Pipt. While there they see a demonstration of the Pipt-made Powder of Life, which animates any object it touches. Unc Ninkie and Dr. pipt's wife are also the sufferers",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190148A30>
To Sail Beyond the Sunset,Robert A. Heinlein,1987,"['Science Fiction', 'Speculative fiction']"," The book is a memoir of Maureen Johnson Smith Long, mother, lover, and eventual wife of Lazarus Long. Maureen is ostensibly recording the events of the book while being held in a future prison, awaiting her uncertain fate, along with Pixel, the eponymous character of The Cat Who Walks Through Walls. MaMaureen, born on July 4, 1882, recounts her girlhood in Kansas City, young adulthood, discovery that her family is a member of the long-",<PIL.Image.Image image mode=RGB size=512x512 at 0x7901901487F0>
Double Star,Robert A. Heinlein,1956,"['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction']"," The story, which is told in the first person, centers on down-and-out actor Lawrence Smith (stage name Lorenzo Smythe, a.k.a. ""The Great Lorenzo""). A brilliant actor and mimic (or so we are told, by Smith himself), he is down to his last coin when a spaceman hires him to double for a public figure. It is only when he is on his way to Mars that he finds out how deeply he has been deceived:",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190148B80>
Time for the Stars,Robert A. Heinlein,1956,"['Science Fiction', 'Speculative fiction', 'Childrens literature', 'Fiction']"," The Long Range Foundation (""LRF"") is a non-profit organization that funds expensive, long-term projects for the benefit of mankind that nobody else will touch. It has built a dozen exploratory starships (torchships) to search for habitable planets to colonize. The vessels can only gradually accelerate, and then merely to sub-light speeds, so the voyages will last many years. Therefore, each starship has a much larger than necessary crew to maintain a more stable",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019014BE20>
Citizen of the Galaxy,Robert A. Heinlein,1957,"['Science Fiction', 'Speculative fiction', 'Fiction']"," Thorby is a young, defiant slave boy recently arrived on the planet Jubbul, where he is purchased by an old beggar, Baslim the Cripple, for a trivial sum and taken to the beggar's surprisingly well-furnished underground home. Thereafter Baslim treats the boy as a son, teaching him not only the trade of begging, but also mathematics, history, and several languages, and sends Thorby on errands all over the city, carefully",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019014B9D0>
Stranger in a Strange Land,Robert A. Heinlein,1961-06-01,"['Science Fiction', 'Fiction']"," The story focuses on a human raised on Mars and his adaptation to, and understanding of, humans and their culture, which is portrayed as an amplified version of the consumerist and media-driven 20th-century United States. Protagonist Valentine Michael Smith is the son of astronauts of the first expedition to the planet Mars. Orphaned after the crew died, Smith was raised in the culture of the Martian natives, who possess full control over their minds and bodies (learned skills which",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019014B160>
Glory Road,Robert A. Heinlein,1963,"['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction', 'Novel']"," Evelyn Cyril ""E.C."" Gordon (also known as ""Easy"" and ""Flash"") has been recently discharged from an unnamed war in Southeast Asia. He is pondering what to do with his future and considers spending a year traveling in France. He has a dilemma: follow up on a possible winning entry in the Irish Sweepstakes or respond to a newspaper ad which asks ""Are you a coward?"". He settles on the latter. He receives a letter from a mysterious woman",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019014ABC0>
The Moon Is a Harsh Mistress,Robert A. Heinlein,1966,"['Science Fiction', 'Fantasy', 'Fiction']"," In 2075, underground colonies are scattered across the Moon (Luna), of whom most inhabitants (called ""Loonies"") are criminals, political exiles, or descendants thereof. The total population is about three million, with men outnumbering women 2:1, so that polyandry is the norm. Although Earth's Protector of the Lunar Colonies (called the ""Warden"") holds power, in practice there is little intervention in the loose Lunar society. HOLM",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019014B3D0>
I Will Fear No Evil,Robert A. Heinlein,1970,"['Science Fiction', 'Speculative fiction', 'Fiction']","The story takes place about 2015 AD, against a background of an overpopulated Earth, whose dysfunctional society is clearly an attempt to extrapolate into the future the rapid social changes taking place in the U.S. during the 1960s. Ancient billionaire Johann Sebastian Bach Smith is dying, and wants to have his brain transplanted into a new body. Smith advertises an offer of a million dollars for the donation of a body from a brain-dead patient. Coincidentally, his",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190149F90>
The Cat Who Walks Through Walls,Robert A. Heinlein,1985,"['Science Fiction', 'Speculative fiction']"," A writer seated at the best restaurant of the space age, ""Golden Rule"" is approached by a man who urges him that ""Tolliver must die"" and is himself shot before the writer's eyes. The writer–Colonel Colin Campbell, living under a number of aliases including his pen name ""Richard Ames""–is joined by a beautiful and sophisticated lady, Gwendolyn Novak, who helps him flee to Luna with a bonsai maple and a would-be",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019014BA60>
Methuselah's Children,Robert A. Heinlein,1958,"['Science Fiction', 'Speculative fiction']"," The Howard Families derive from Ira Howard, who became rich in the California Gold Rush, but died young and childless. Fearing death, he left his money for the prolongation of human life, and the trustees of his will carried out his wishes by financially encouraging those with long-lived grandparents to marry and have children. While the Families (who, by the 22nd Century, have a life expectancy of 150 years) have kept their existence secret, with the enlightened human society",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019014B010>
The Wonderful Wizard of Oz,L. Frank Baum,1900,"['Speculative fiction', 'Fantasy', 'Childrens literature']"," Dorothy is a young orphaned girl raised by her Uncle Henry and Aunt Em in the bleak landscape of a Kansas farm. She has a little black dog Toto, who is her sole source of happiness on the dry, gray prairies. One day the farmhouse, with Dorothy and Toto inside, is caught up in a cyclone and deposited in a field in Munchkin Country, the eastern quadrant of the Land of Oz. The falling house kills the evil ruler of",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019014AFE0>
Wuthering Heights,Emily Brontë,1847-12,"['Gothic fiction', 'Fiction', 'Novel']"," In 1801, Mr. Lockwood, a rich man from the south of England, rents Thrushcross Grange in the north of England for peace and recuperation. Soon after his arrival, he visits his landlord, Mr., Heathcliff, who lives in the remote moorland farmhouse called ""Wuthering Heights."" He finds the inhabitants of Wuthering Fields to be a rather strange group: Mr. Heathcliffs appears a gentleman but his mannerisms",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019014AE90>
Jane Eyre,Charlotte Brontë,1847-10-16,"['Novel', 'Social criticism', 'Romance novel', 'Fiction', 'Bildungsroman', 'Gothic fiction']"," The novel begins with a ten-year-old orphan named Jane Eyre, who is living with her maternal uncle's family, the Reeds, as her uncle's dying wish. Jane's parents died of typhus. Jane’s aunt Sarah Reed does not like her and treats her worse than a servant and discourages and at times forbids her children from associating with her. She claims that Jane is not worthy of notice. She and her three children are abusive to Jane",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019014B8B0>
Catch-22,Joseph Heller,1961-11-11,"['Antiwar', 'War novel', 'Absurdist fiction', 'Historical fiction', 'Satire', 'Black comedy']"," The development of the novel can be split into segments. The first (chapters 1–11) broadly follows the story fragmented between characters, but in a single chronological time in 1943. The second (chambers 12–20) flashes back to focus primarily on the ""Great Big Siege of Bologna"" before once again jumping to the chronological ""present"" of 1943 in the third part (chapter 21–25). The fourth (champions 26–28) flashes Back to the",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019014B0A0>
Robinson Crusoe,Daniel Defoe,1719-04-25,"['Speculative fiction', 'Childrens literature', 'Fiction', 'Adventure novel', 'Novel']"," Crusoe (the family name corrupted from the German name ""Kreutznaer"") sets sail from the Queen's Dock in Hull on a sea voyage in August 1651, against his parents' wishes, who want him to pursue a career, possibly in law. After a tumultuous journey where his ship is wrecked in a storm, his lust for the sea remains so strong that he sets out to sea again. This journey, too, ends in disaster as the ship is taken over",<PIL.Image.Image image mode=RGB size=512x512 at 0x7901914B5000>
Emma,Jane Austen,1815-12,"['Childrens literature', 'Reference', 'Novel', 'Comedy of manners', 'Romance novel', 'Comedy', 'Fiction']"," Emma Woodhouse, aged 20 at the start of the novel, is a young, beautiful, witty, and privileged woman in Regency England. She lives on the fictional estate of Hartfield in Surrey in the village of Highbury with her elderly widowed father, a hypochondriac who is excessively concerned for the health and safety of his loved ones. Emma's friend and only critic is the gentlemanly George Knightley, her neighbour from the adjacent estate of Donwell, and",<PIL.Image.Image image mode=RGB size=512x512 at 0x7901914B5210>
Charlie and the Chocolate Factory,Roald Dahl,1964,"['Childrens literature', 'Fantasy', 'Speculative fiction', 'Fiction']"," The story revolves around a poor young boy named Charlie Bucket born to a penniless, starving family. His two sets of grandparents reside in their children's dilapidated, tiny house and lead a bedridden existence, and Charlie is fascinated by the universally-celebrated candy factory located in his hometown owned by famous chocolatier Willy Wonka. His Grandpa Joe often narrates stories to him about the chocolate factory and about its mysterious proprietor, and the mysteries relating",<PIL.Image.Image image mode=RGB size=512x512 at 0x7901914B78E0>
Anne of Green Gables,Lucy Maud Montgomery,1908-06,"['Childrens literature', 'Novel']"," Anne, a young orphan from fictional community of Bolingbroke, Nova Scotia, (based upon the real community of New London) is sent to Prince Edward Island after a childhood spent in strangers' homes and orphanages. Marilla and Matthew Cuthbert, siblings in their fifties and sixties, had decided to adopt a boy from the orphanage to help Matthew run their farm. They live at Green Gables, their Avonlea farmhouse on Prince Edward",<PIL.Image.Image image mode=RGB size=512x512 at 0x7901914B6740>
The Wasp Factory,Iain Banks,1984,"['Fiction', 'Novel']"," The 'Wasp Factory' of the title is a huge clock face encased in a glass box and salvaged from the local dump. Behind each of the 12 numerals is a trap which leads to a different ritual death (for example burning, crushing, or drowning in Frank's urine) for the wasp that Frank puts into the hole at the center within the box. Frank believes the death 'chosen' by the werep predicts something about the future. There are also",<PIL.Image.Image image mode=RGB size=512x512 at 0x7901914B4C70>
Espedair Street,Iain Banks,1987,"['Fiction', 'Novel']"," ""Two days ago I decided to kill myself. I would walk and hitch and sail away from this dark city to the bright spaces of the wet west coast, and there throw myself into the tall, glittering seas beyond Iona (with its cargo of mouldering kings) to let the gulls and seals and tides have their way with my remains, and in my dying moments look forward to an encounter with Staffa’s six-sided columns and Fingal’",<PIL.Image.Image image mode=RGB size=512x512 at 0x7901914B4580>
The Crow Road,Iain Banks,1992,"['Mystery', 'Novel', 'Fiction', 'Suspense']","This Bildungsroman is set in the fictional Argyll town of Gallanach (by its description, reminiscent of Oban but on the north east shore of Loch Crinan), the real village of Lochgair, and in Glasgow where Prentice McHoan lives. Prentice's uncle Rory has disappeared eight years previous while writing a book called The Crow Road. P Prentice becomes obsessed with papers his uncle left behind and sets out to solve the mystery. Along the",<PIL.Image.Image image mode=RGB size=512x512 at 0x7901914B5D50>
Consider Phlebas,Iain Banks,1987,"['Science Fiction', 'Speculative fiction']"," The Culture and the Idiran Empire are at war in a galaxy-spanning conflict. Horza, a mercenary capable of altering his appearance at will (a Changer), is assigned the task of retrieving a dispossessed Culture Mind by his Idirana handlers. The Mind, while fleeing attacking Idirans who consider its existence an abomination, has taken refuge on Schar's World, a Planet of the Dead. Planets of the dead are nominally forbidden to",<PIL.Image.Image image mode=RGB size=512x512 at 0x7901914B5960>
Inversions,Iain Banks,1998,"['Science Fiction', 'Speculative fiction']"," The book takes place on a fictional planet based on late-Middle Ages Europe. It alternates chapter-by-chapter between two concurrent storylines. The first storyline is presented as a written account from Oelph, publicly a doctor's assistant, but privately a spy for an individual identified only as ""Master"", to whom much of the account is addressed. Oeloph is the assistant to Vosill, the personal doctor to King Quettil, and is the only person in",<PIL.Image.Image image mode=RGB size=512x512 at 0x7901914B4CD0>
Ender's Game,Orson Scott Card,1985,"['Science Fiction', 'Speculative fiction', 'Fiction']"," In the far future, humanity has discovered interstellar travel and faster-than-light communication enabled by ansibles. In exploring the galaxy, they encountered an alien race known as the Formics, derogatorily dubbed ""buggers"" due to their insect-like appearance. The Formics attacked the humans and the two races enter into a series of wars. Despite political conflict on Earth between three ruling parties, the Hegemon, Polemarch, and Strategos, a tentative agreement",<PIL.Image.Image image mode=RGB size=512x512 at 0x7901914B7F70>
Measure for Measure,William Shakespeare,1861,['Fiction'],"In the first scene of the film, Claudio, a young nobleman, is about to leave the city on a diplomatic mission. In the second scene, he leaves the city to go to the Vatican. He leaves the government in the hands of a strict judge, Angelo. Claudio is betrothed/unofficially married to Juliet. At the time, marriages were supposed to be announced by banns in advance. Due to lack of money, Clo and Juliet",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019014BC70>
"Flow My Tears, The Policeman Said",Philip K. Dick,1974,"['Science Fiction', 'Speculative fiction', 'Fiction', 'Dystopia', 'Novel']"," The novel is set in a dystopian future United States following a Second Civil War which led to the collapse of the nation's democratic institutions. The National Guard (""nats"") and US police force (""pols"") reestablished social order through instituting a dictatorship, with a ""Director"" at the apex, and police marshals and generals as operational commanders in the field. Resistance to the regime is largely confined to university campuses, where radicalized former university students eke out a desperate existence",<PIL.Image.Image image mode=RGB size=512x512 at 0x7901914B51B0>
Job: A Comedy of Justice,Robert A. Heinlein,1984,"['Science Fiction', 'Speculative fiction', 'Novel']","The story examines religion through the eyes of Alex, a Christian political activist who is corrupted by Margrethe, a Danish Norse cruise ship hostess &mdash; and who loves every minute of it. Enduring a shipwreck, an earthquake, and a series of world-changes brought about by Loki (with Jehovah's permission), Alex and Marga work their way from Mexico back to Kansas as dishwasher and waitress. Whenever they manage to make some progress, an inconveniently timed",<PIL.Image.Image image mode=RGB size=512x512 at 0x7901914B6C20>
Farmer in the Sky,Robert A. Heinlein,1950,"['Science Fiction', 'Speculative fiction', 'Fiction', 'Novel']"," The story is set in a future, overcrowded Earth, where food is carefully rationed. Teenager William (Bill) Lermer lives with his widower father, George. George decides to emigrate to the farming colony on Ganymede, one of Jupiter's moons. After marrying Molly Kenyon, George, Bill and Molly's daughter Peggy embark on the 'torchship' Mayflower. On the journey, Bill saves his bunkmates from asphyxiation by",<PIL.Image.Image image mode=RGB size=512x512 at 0x7901914B5AB0>
Friday,Robert A. Heinlein,1982-04,"['Science Fiction', 'Speculative fiction', 'Fiction', 'Novel']","The book's protagonist is Friday Baldwin, an artificial person both mentally and physically superior in many ways to an ordinary human, but she faces great prejudice and will most likely be killed if her ""non-human"" status is discovered. Employed as a highly self-sufficient combat courier, her various missions take her throughout the globe and also to some of the near-Earth space colonies. The novel is set in a complex, Balkanized world, and Friday is caught up in several",<PIL.Image.Image image mode=RGB size=512x512 at 0x7901914B5A80>
Have Space Suit-Will Travel,Robert A. Heinlein,1958,"['Science Fiction', 'Speculative fiction']","Kip ""Kip"" Russell, a bright high school senior with an eccentric father, enters an advertising jingle writing contest, hoping to win an all-expenses-paid trip to the Moon. He instead gets an obsolete, but genuine, used space suit. Though a few make fun of him, with the help of sympathetic townspeople, and using his own ingenuity and determination, Kip puts the suit (which he dubs ""Oscar"") back into working condition",<PIL.Image.Image image mode=RGB size=512x512 at 0x7901914B50F0>
Red Planet,Robert A. Heinlein,1949,"['Science Fiction', 'Fantasy', 'Fiction', 'Novel']"," On Mars, Jim Marlowe and Frank Sutton travel to the Lowell Academy boarding school for the start of the academic year. Jim takes along his native, volleyball-sized pet, Willis the Bouncer, who is about as intelligent as a human child and has a photographic memory for sounds, which he can also reproduce perfectly. At a rest stop, Willis wanders off and encounters one of the adult sentient Martians. The three-legged alien takes the two boys and Willis to",<PIL.Image.Image image mode=RGB size=512x512 at 0x7901914B5E10>
The Number of the Beast,Robert A. Heinlein,1980-07-12,['Science Fiction']," The book is a series of diary entries by each of the four main characters: Zebadiah John Carter, programmer Dejah Thoris ""Deety"" Burroughs Carter, her mathematics professor father Jacob Burrough, and an off-campus socialite Hilda Corners. The names ""Dejah Thori"", ""Burroughs"", and ""Carter"" are overt references to John Carter and DejahThoris, the main protagonists of the Barsoom (Mars)",<PIL.Image.Image image mode=RGB size=512x512 at 0x7901914B59C0>
Foundation's Edge,Isaac Asimov,1982-06,"['Science Fiction', 'Speculative fiction', 'Novel']"," Five hundred years after the establishment of the Foundation, the Mayor of Terminus, Harla Branno, is basking in a political glow, her policies having been vindicated by the recent successful resolution of a Seldon Crisis. Golan Trevize, a former officer of the Navy and now a member of Council, believes the Second Foundation (which is almost universally thought to be extinct) still exists and is controlling events. He attempts to question the continued existence of the Se",<PIL.Image.Image image mode=RGB size=512x512 at 0x7901914B5A20>
The Caves of Steel,Isaac Asimov,1954-06,"['Science Fiction', 'Childrens literature', 'Speculative fiction', 'Mystery', 'Fantasy', 'Fiction']","The book's central crime is a murder, which takes place before the novel opens. (This is an Asimovian trademark, which he attributed to his own squeamishness and John Campbell's advice of beginning as late in the story as possible.) Roj Nemmenuh Sarton, a Spacer Ambassador, lives in Spacetown, the Spacer outpost just outside New York City. For some time, he has tried to convince the Earth government to loosen its anti-",<PIL.Image.Image image mode=RGB size=512x512 at 0x7901914B5ED0>
Prelude to Foundation,Isaac Asimov,1988-11,"['Science Fiction', 'Speculative fiction', 'Childrens literature', 'Fiction']"," The story takes place on Trantor during the reign of Emperor Cleon I. It starts with Hari's presentation of a paper at a mathematics convention detailing how practical use of psychohistory might theoretically be possible. The Emperor of the Galactic Empire learns of this and wants to use Hari for political gain. After an interview with Hara, however, Cleon concludes that Hari is of no use to the Empire. Hari then meets reporter Chetter Hummin",<PIL.Image.Image image mode=RGB size=512x512 at 0x790192A442E0>
Foundation and Earth,Isaac Asimov,1986,"['Science Fiction', 'Speculative fiction', 'Fiction', 'Novel']"," Councilman Golan Trevize, historian Janov Pelorat, and Blissenobi, a member of the Solarians of the planet Gaia (all of whom were introduced in Foundation's Edge) set out on a journey to find humanity's ancestral planet &mdash; Earth. The purpose of the journey is to settle Trevise's doubt with his decision at the end of Foundation'sEdge to embrace the all-encompassing supermind of Galaxia. First",<PIL.Image.Image image mode=RGB size=512x512 at 0x790192A45DB0>
Time Enough for Love,Robert A. Heinlein,1973-06,"['Science Fiction', 'Speculative fiction', 'Fiction']"," The book covers several periods from the life of Lazarus Long (birth name: Woodrow Wilson Smith), the oldest living human, now more than two thousand years old. The first half of the book takes the form of several novellas connected by Lazarus's retrospective narrative. In the framing story, Lazarus has decided that life is no longer worth living, but (in what is described as a reverse Arabian Nights scenario) will consent not to end his life as long as his companions will listen",<PIL.Image.Image image mode=RGB size=512x512 at 0x7901DFAA9540>
The Rolling Stones,Robert A. Heinlein,1952,"['Science Fiction', 'Speculative fiction', 'Childrens literature', 'Fiction']"," The Stones, a family of ""Loonies"" (residents of the Moon, known as ""Luna"" in Latin), purchase and rebuild a used spaceship, and go sightseeing around the solar system. The twin teenage boys, Castor and Pollux, buy used bicycles to sell on Mars, their first stop, where they run afoul of import regulations and are freed by their grandmother Hazel Stone. While on Mars in the twins buy their brother Buster a native Martian creature",<PIL.Image.Image image mode=RGB size=512x512 at 0x7901DFAAA110>
The Door into Summer,Robert A. Heinlein,1957,"['Science Fiction', 'Speculative fiction', 'Fiction']"," The novel opens in 1970 with Daniel Boone Davis, an engineer and inventor, well into a long drinking binge. He has lost his company, Hired Girl, Inc., to his partner Miles Gentry and the company bookkeeper, Belle Darkin. She had been Dan's fiancée, deceiving him into giving her enough voting stock to allow her and Miles to seize control. Dan's only friend in the world is his cat, ""Petronius the Arbiter"", or",<PIL.Image.Image image mode=RGB size=512x512 at 0x7901DFAAA170>
Farnham's Freehold,Robert A. Heinlein,1964,['Science Fiction']," Hugh Farnham, a middle-aged man, holds a bridge club party for his wife Grace (an alcoholic), son Duke (a law graduate), daughter Karen (a college student), and Barbara (Karen's sorority sister). During the bridge game, Duke berates him for frightening his mother with preparations for a possible nuclear attack by the Russians. When the attack actually occurs, the group, along with Joe (the family's African American servant), retreat to the fallout shelter below",<PIL.Image.Image image mode=RGB size=512x512 at 0x7901DFAAB490>
The Maltese Falcon,Dashiell Hammett,1930,"['Crime Fiction', 'Detective fiction', 'Mystery', 'Fiction', 'Hardboiled', 'Suspense']","Sam Spade and Miles Archer are hired by a Miss Wonderly to follow a man, Floyd Thursby, who has allegedly run off with Wonderly's younger sister. Spades and Archer take the assignment because the money is good, but Spade implies that the woman looks like trouble. That night, Spade receives a phone call telling him that Archer is dead. When questioned by Sgt. Polhaus about Archer's activities, Spades says that Archer was tailing Thursby.",<PIL.Image.Image image mode=RGB size=512x512 at 0x7901DFAAA7D0>
Funeral in Berlin,Len Deighton,1964,"['Spy fiction', 'Fiction']","The protagonist, who is unnamed, travels to Berlin to arrange the defection of a Soviet scientist named Semitsa, this being brokered by Johnny Hallam, a member of the Berlin intelligence community. Despite his initial scepticism the deal seems to have the support of Russian security-chief Colonel Stok and Hallam in the British government's Home Office. The fake documentation for Semits' defection is also provided by the Soviet government. In addition, an Israeli intelligence agent named",<PIL.Image.Image image mode=RGB size=512x512 at 0x7901DFAAA0E0>
Billion-Dollar Brain,Len Deighton,1966,"['Science Fiction', 'Spy fiction', 'Fiction']"," The unnamed protagonist travels to Helsinki to deliver a package after receiving instructions from a mysterious mechanically operated telephone message. On his arrival the protagonist discovers that the message was from 'The Brain', a one billion dollar super-computer owned by eccentric Texan billionaire General Midwinter. Midwinter is using The Brain to organise his own intelligence agency and private army which will soon start an uprising in Soviet-occupied Latvia in an attempt to end Communism in the Eastern bloc and tip the balance of the Cold War",<PIL.Image.Image image mode=RGB size=512x512 at 0x7901914B6620>
Kim,Rudyard Kipling,1901,"['Spy fiction', 'Novel', 'Picaresque novel']"," Kim (Kimball O'Hara) is the orphaned son of an Irish soldier and a poor white mother who have both died in poverty. Living a vagabond existence in India under British rule in the late 19th century, Kim earns his living by begging and running small errands on the streets of Lahore. He occasionally works for Mahbub Ali, a Pashtun horse trader who is one of the native operatives of the British secret service. Kim is so immersed",<PIL.Image.Image image mode=RGB size=512x512 at 0x7901914B6950>
Whit,Iain Banks,1995,"['Science Fiction', 'Fantasy', 'Fiction', 'Novel']","Isis, otherwise The Blessed Very Reverend Gaia-Marie Isis Saraswati Minerva Mirza Whit of Luskentyre, Beloved Elect of God III, is the 19-year-old granddaughter and designated spiritual heir of Salvador Whit, patriarch of the Luscentyrians. They are a religious cult who live in a commune in Stirlingshire and reject most technology. They run their lives according to a collection of beliefs and rituals ""revealed"" to Salvador after he",<PIL.Image.Image image mode=RGB size=512x512 at 0x7901914B5750>
Native Son,Richard Wright,1940,"['Fiction', 'Novel']"," Bigger Thomas wakes up in a dark, small room at the sound of the alarm clock. He lives in one room with his brother Buddy, his sister Vera, and their mother. Suddenly, a rat appears. The room turns into a maelstrom and after a violent chase, Bigger claims the life of an animal with an iron skillet and terrorizes Vera with the dark body. Vera faints and Mrs. Thomas scolds Bigger, who hates his family because they suffer",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019144DBA0>
A Farewell to Arms,Ernest Hemingway,1929,"['Fiction', 'Novel']","The novel is divided into five books. In the first book, Rinaldi introduces Henry to Catherine Barkley; Henry attempts to seduce her, and their relationship begins. While on the Italian front, Henry is wounded in the knee by a mortar shell and sent to a hospital in Milan. The second book shows the growth of Henry and Catherine's relationship as they spend time together in Milan over the summer. Henry falls in love with Catherine and, by the time he is healed, Catherine",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019144DC00>
Imitation of Life,Fannie Hurst,1933,['Novel']," The story is a look at early 20th-century American race relations. In Hurst's novel, Bea Chipley is a quiet, mousey, Atlantic City teenage girl whose mother passes away, leaving her to keep house for her father (Mr. Chipley) and Benjamin Pullman, a boarder who peddles ketchup and relish on the boardwalk and sells maple syrup door-to-door on the side. Within a year, her father and Pullman",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019144DBD0>
The Way of All Flesh,Samuel Butler,1903,['Autobiographical novel']," The story is narrated by Overton, godfather to the central character. The novel takes its beginnings in the late eighteenth and early nineteenth centuries in order to trace Ernest's emergence from previous generations of the Pontifex family. John Pontifexes was a carpenter; his son George rises in the world to become a publisher; George's son Theobald, pressed by his father to become an minister, is manipulated into marrying Christina, the daughter of a clergyman; the main",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019144DB10>
Alice Adams,Booth Tarkington,1921-06,"['Fantasy', 'Fiction', 'Romance novel', 'Novel']"," The novel begins with Virgil Adams confined to bed with an unnamed illness. There is tension between Virgil and his wife over how he should go about recovering, and she pressures him not to return to work for J. A. Lamb once he is well. Alice, their daughter, attempts to keep peace in the family (with mixed results) before walking to her friend Mildred Palmer's house to see what Mildred will wear to a dance that evening. After Alice's return,",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019144DDB0>
Les Misérables,Victor Hugo,1862,"['Fiction', 'Novel']"," The story starts in 1815 in Digne. The peasant Jean Valjean has just been released from imprisonment in the Bagne of Toulon after nineteen years (five for stealing bread for his starving sister and her family, and fourteen more for numerous escape attempts). Upon being released, he is required to carry a yellow passport that marks him as a prisoner, despite having already paid his debt to society by serving his time in prison. Rejected by innkeepers, who do not",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019144CFD0>
